id,first_name,last_name,num_reviews,avg_review,img_problems,type,num_previous_clients,days_since_login,age,years_experience,score
464,Patty,Shell,3,0.77,6,0,0,8,47,8,1.2078
169,Christopher,Emmerich,3,0.52,4,1,0,8,46,4,1.2058
232,James,Harre,3,4.85,3,0,0,2,52,1,1.1878
435,Teresa,Robinson,1,0.62,6,0,2,72,49,12,1.1429
153,Wesley,White,2,0.23,6,2,0,1,41,10,1.1103
187,Jimmie,Batchelder,1,0.4,7,1,0,8,44,8,1.0966
581,Ashley,Ferrera,1,0.89,5,0,1,120,39,9,1.0867
471,Rebekah,Vickers,3,0.22,0,1,4,0,21,5,0.946
283,Ruth,Apilado,1,0.26,3,1,1,0,42,7,0.9127
491,John,Goodman,3,0.68,1,0,0,26,30,5,0.764
327,Jason,Pounds,3,0.53,4,1,1,46,33,1,0.7528
408,David,Thompson,3,0.16,6,2,0,35,51,14,0.7289
414,April,Eadie,1,0.27,0,0,0,26,29,11,0.7071
268,Derrick,Barrett,1,0.65,1,0,2,17,24,3,0.6787
170,Scott,Chase,1,0.43,7,1,0,14,19,2,0.6715
472,Elisabeth,Diberardino,1,0.15,3,2,1,46,51,10,0.6409
205,Lidia,Cobb,3,0.18,1,2,0,26,21,2,0.6202
575,Shannon,Curtis,2,0.24,6,1,0,72,42,12,0.6194
563,Katrina,Koczera,1,0.4,3,0,3,72,43,8,0.617
340,John,Simpson,2,0.25,7,2,0,35,45,2,0.6133
168,Brandon,Mccain,2,2.4,3,0,0,8,37,1,0.5517
167,Darlene,Hunt,3,0.19,0,2,0,72,53,3,0.5413
87,Luis,Peterson,2,0.12,0,1,2,20,34,10,0.54
109,Craig,Shepard,3,3.21,1,0,0,120,29,1,0.4641
194,Mona,Holland,2,0.11,6,2,5,2,32,3,0.4476
103,Dorothy,Frank,1,0.22,2,0,0,8,21,8,0.4293
155,Joyce,Beech,2,0.2,5,1,0,6,33,2,0.3782
27,Richard,Belisle,1,0.2,6,0,0,14,43,10,0.3774
445,Miguel,Chapman,1,0.92,7,0,0,120,41,3,0.3279
566,Shiela,Leblanc,3,0.49,1,0,2,3,36,1,0.3191
296,Ilene,Davis,2,0.14,7,0,1,3,20,10,0.2938
83,Lauren,Vital,1,0.22,0,0,2,8,25,3,0.2648
474,Rigoberto,Martin,1,0.2,7,1,1,72,23,2,0.2494
520,Linda,Perkins,1,1.1,4,0,0,26,53,1,0.2115
244,Richard,Jones,2,0.09,3,0,0,7,36,10,0.2085
518,Billy,Whitesell,2,0.14,7,0,2,5,29,6,0.202
367,Freida,Roswell,2,0.06,7,2,2,17,53,3,0.1876
12,Mary,Williams,1,0.81,5,0,0,26,46,1,0.1486
545,Roscoe,Ross,1,0.28,2,0,0,2,54,2,0.1461
356,Christy,Parker,2,0.09,5,0,2,26,33,5,0.1046
521,Angela,Graham,1,0.26,0,0,0,1,50,1,0.078
